text,label
"Usai kalah dari Prancis, Pelatih Timnas Maroko, Walid Regragui, secara mengejutkan membuat pernyataan ia dukung Prancis untuk menjuarai Piala Dunia edisi kali ini. 
",setuju
"FT : 🇨🇵 Prancis  2 - 0  Maroko 🇲🇦

⚽ Theo Hernandez 5'
⚽ Kolo Muani 79'

PRANCIS LOLOS KE FINAL DAN AKAN BERTEMU ARGENTINA",setuju
"Dari Maroko kita belajar, dibebani harapan tinggi oleh banyak orang dan tak kesampaian itu pedih.",setuju
"Prancis jadi tim pertama yang mampu jebol gawang Maroko di Piala Dunia 2022!
",setuju
"Halo Sob! GiveawayTelkomJabar kali ini ada pertanyaan seputar PialaDunia2022 nih Sob, gaskeun yuk! Buat kamu yang beruntung akan mendapatkan saldo LinkAja total 150k untuk 3 orang pemenang!
",tidak setuju
"Final Piala Dunia 2022!
Antara Argentina atau Perancis, team mana yang anda rasa akan jadi juara?",setuju
Prancis jadi tim pertama yang mampu jebol gawang Maroko di Piala Dunia 2022!,setuju
"Congratulation team 😍
",setuju
"Nantikan pertandingan LIGA INDONESIA PREMIER LEAGUE yang akan berlangsung hari Kamis, 15 Desember 2022",setuju
"Nantikan pertandingan INDIAN SUPER LEAGUE &amp; SCOTLAND PREMIER LEAGUE yang akan berlangsung hari Kamis, 15 Desember 2022",setuju
"Bali United 2-2 Borneo FC / Privat B
",tidak setuju
"Legenda Brasil, Rivaldo, secara terang-terangan memberikan dukungannya pada Lionel Messi dan Argentina di Piala Dunia 2022 ini. Bahkan, dia berani menyebut bahwa tuhan sudah menakdirkan Messi jadi juara dunia tahun ini. https://t.co/9M41DW1jQo",setuju
"Messi cs berhasil melaju ke final setelah mengalahkan Kroasia 🔥kalau ada yang bilang Messi cuma bisa p, mungkin dia gak nonton assist ke Alvarez...

",setuju
"Messi cs berhasil melaju ke final setelah mengalahkan Kroasia 🔥kalau ada yang bilang Messi cuma bisa p, mungkin dia gak nonton assist ke Alvarez...
",setuju
"PSM  Makassar 2-1 Madura United / K.Nambu
",tidak setuju
"FINAL PIALA DUNIA SUDAH DEKAT GUYS
Yuk siapkan cemilan favoritmu untuk nobar!
Cuss lagi banyak promo cemilan untuk paket nonton piala dunia nih!
https://t.co/5AXqTurN0N",setuju
"Prancis vs Maroko

Prancis back to back final piala Dunia, Argentina sudah menunggu.

Maroko akhirnya tumbang.",setuju
"Berkat gol dari Cody Gakpo dan Frenkie De Jong, Timnas Belanda sukses memastikan diri lolos ke 16 besar Piala Dunia 2022. Jagoan kamu lolos juga gak Sob? Tulis di kolom komentar ya! 
",setuju
Kejutan yang bener-bener gak Kakmin duga di bulan ini adalah Maroko bisa naklukin Spanyol lewat drama adu penalty! Coba vote deh siapa ya yang kira-kira bakal masuk ke final?,setuju
Apakah final FIFA World Cup nanti menjadi ajang bergengsi untuk francis back to back champios ? ataukah argentina meraih juara untuk di persembahkan ke LM10 ?,setuju
"TEBAK SKOR WORLD CUP
 
@equipedefrance  vs @EnMaroc 
 
Syarat:

- Tebak Skor dengan hastag( PRANCIS 2-1 MAROKO #WORLDCUPxWINLIVE4D )
- Wajib Follow @txtslots ,Retwets &amp; Like post ini
- WAKTU MAEN SAMPAI SELESAI
",setuju
